,precision,recall,f1-score,support
battery,0.5787401574803149,0.8448275862068966,0.6869158878504673,174.0
biological,0.5548172757475083,0.8652849740932642,0.6761133603238867,193.0
clothes,0.9053069719042663,0.8063021316033364,0.8529411764705882,1079.0
glass,0.7025,0.5903361344537815,0.6415525114155252,476.0
metal,0.5017421602787456,0.5714285714285714,0.5343228200371057,252.0
paper,0.6688888888888889,0.5689981096408318,0.6149131767109295,529.0
plastic,0.527027027027027,0.6341463414634146,0.5756457564575646,246.0
accuracy,0.7005764665988471,0.7005764665988471,0.7005764665988471,0.7005764665988471
macro avg,0.6341460687609645,0.697331978412871,0.6546292413237239,2949.0
weighted avg,0.7219147641799464,0.7005764665988471,0.7043957426558288,2949.0
